ticket_code,last_name,first_name,email,product,transferred_from_code,transferred_from_email
# manually placed in room 305
aaa001,Bar,Foo,foo.bar@noop.com,Bally's - Standard 2 Queens (RFP Sale),,
# manually placed in room 306
aaa002,Baz,Foo,foo.baz@noop.com,Bally's - Standard 2 Queens (Direct Sale),,
# these two should be auto placed
aaa003,Bam,Foo,foo.bam@noop.com,Bally's - Standard King,,
aaa004,Bat,Foo,foo.bat@noop.com,Bally's - Standard King (Direct Sale),,
# these two should be auto placed in queen room
bbb001,Bam,Fob,fob.bam@noop.com,Bally's - Standard 2 Queens,,
bbb002,Baz,Fob,fob.baz@noop.com,Bally's - Standard 2 Queens,,
# normal placed art room(s)
aaa005,Baa,Foo,foo.baa@noop.com,Art Room Bally's - Standard King,,
aaa006,Bac,Foo,foo.bac@noop.com,Art Room Bally's - Standard 2 Queens,,
# someone transfering art room to an artist - original ticket placed
aaa007,Bab,Foo,foo.bab@noop.com,Art Room Bally's - Standard King,,
aaa008,Bal,Foo,foo.bal@noop.com,Art Room Bally's - Standard King,aaa007,
# someone else transfering art room to an artist - transferred ticket placed
aaa009,Bab,Foo,foo.bab@noop.com,Art Room Bally's - Standard 2 Queens,,
aaa010,Bal,Foo,foo.bal@noop.com,Art Room Bally's - Standard 2 Queens,aaa009,
# transferred to self bc why tf not
aaa011,Bag,Foo,foo.bag@noop.com,Bally's - Standard 2 Queens,,
aaa012,Bag,Foo,foo.bag@noop.com,Bally's - Standard 2 Queens,aaa011,
# transferred twice
aaa013,TxBar,Foo,foo.txbar@noop.com,Bally's - Standard 2 Queens,,
aaa014,TxBaz,Foo,foo.txbaz@noop.com,Bally's - Standard 2 Queens,aaa013,
aaa015,TxBam,Foo,foo.txbam@noop.com,Bally's - Standard 2 Queens,aaa014,
