ticket_code,last_name,first_name,email,product,transferred_from_code,transferred_from_email
X9H5AA,Moser,Naughty,charming.kirch@noop.com,Bally's - Standard 2 Queens,9T73CX,
6729C6,Wright,Stupefied,stupefied.wright@noop.com,Bally's - Executive King Suite,7C8X5,
THD5N8,Easley,Condescending,condescending.easley@noop.com,Art Room Bally's - Standard 2 Queens,93CTT,
224AX3,Cerf,Elastic,elastic.cerf@noop.com,Bally's - Standard King,8H66N,
3RXCM8,Noether,Hardcore,hardcore.noether@noop.com,Bally's - Tahoe King Suite,95D2C,
A7X44N,Archimedes,Lucid,lucid.archimedes@noop.com,Hard Rock - Lakeview Balcony Suite (RFP Sale),C2T75A,
N699HT,Pike,Nervous,condescending.lalande@noop.com,Art Room Bally's - Standard 2 Queens (RFP Sale),888KXN,
DN32HN,Blackwell,Compassionate,compassionate.blackwell@noop.com,Hard Rock - Mountain View Suite,XDM9N,
DM284H,Beaver,Reverent,reverent.beaver@noop.com,Hard Rock - Pool View Balcony Suite (Post Sale),,
MT799C,Franklin,Quirky,condescending.archimedes@noop.com,Bally's - Standard 2 Queens (RFP Sale),34N53,
8854X2,Fermat,Gallant,gallant.fermat@noop.com,Hard Rock - Lakeview Balcony 2 Queens (Post Sale),,
A2NA4C,Torvalds,Silly,silly.torvalds@noop.com,Hard Rock - Lakeview Balcony 2 Queens (Post Sale),,
HK8HHN,Kare,Determined,determined.kare@noop.com,Bally's - Standard 2 Queens (Post Sale),,
85R84R,Murdock,Flamboyant,flamboyant.murdock@noop.com,Hard Rock - Lakeview Balcony 2 Queens (Post Sale),,
8X9TC8,Poitras,Elated,vigilant.bouman@noop.com,Bally's - Executive King Suite,5XHAR,
DCNDAK,Hamilton,Silly,silly.hamilton@noop.com,Hard Rock - Lakeview King (Post Sale),,
TXXN82,Shtern,Epic,epic.shtern@noop.com,Hard Rock - Standard King (Post Sale),,
9NRMMR,Sutherland,Sharp,sharp.sutherland@noop.com,Art Room Bally's - Standard 2 Queens,9697A,
582TRA,Fermi,Frosty,frosty.fermi@noop.com,Hard Rock - Standard King (Post Sale),,
KDH58C,Hypatia,Frosty,frosty.hypatia@noop.com,Hard Rock - Lakeview Balcony King (Post Sale),,
3D274N,Euclid,Flamboyant,flamboyant.euclid@noop.com,Hard Rock - Standard King (Post Sale),,
MTAT9H,Feistel,Pensive,pensive.feistel@noop.com,Hard Rock - Standard King,X5R9N,
KR6C93,Villani,Magical,magical.herschel@noop.com,Bally's - Standard 2 Queens,R8T52,
4MC7XX,Elbakyan,Sweet,sweet.elbakyan@noop.com,Bally's - Standard 2 Queens,27NMD,
AR6H3K,Euclid,Cranky,dreamy.brattain@noop.com,Bally's - Suite Upgrade from King to Queen (Post),,
8CDT8K,Pike,Admiring,admiring.pike@noop.com,Bally's - Standard King,DRT3H,
AN5D7D,Pike,Elated,elated.pike@noop.com,Hard Rock - Lakeview 2 Queens (Post Sale),,
KRD52M,Euler,Suspicious,suspicious.euler@noop.com,Hard Rock - Lakeview Balcony 2 Queens,M6XA6,
TD4699,Allen,Interesting,interesting.allen@noop.com,Hard Rock - Lakeview Balcony King (Post Sale),,
6R3AHH,Ellis,Compassionate,compassionate.ellis@noop.com,Bally's - Sierra 2 Queens Suite (Post Sale),,
KA9DCX,Swanson,Exciting,exciting.swanson@noop.com,Hard Rock - Lakeview King,677RN,
3H388R,Cartwright,Mystifying,strange.lewin@noop.com,Bally's - Sierra 2 Queens Suite,HHTDNK,
