Placement Verified,Floor,Room,Room Type,"Room Features (Accessibility, Lakeview, Smoking)",Connected To Room,First Name (Resident),Last Name (Resident),Secondary Name,Room Owned By (Secret Party),Check-in Date,Check-out Date,Art Room,Art Room Type,Art Name / Placed Name,Placed By,Changeable,Change Reason,Guest Restriction Notes,Room Notes,Placement Team Notes,Paying guest?,Department,Ticket ID in SecretParty
FALSE,3,301,King,Hearing Accessible,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
TRUE,3,302,Queen,,,Confident,Johnson,Hardcore Hellman,,Mon - 11/6,Tue - 11/14,,,,Condescending Lamport,Yes,,Keep on 3rd floor (art on Gnd),,,Comp,Art,n/a
FALSE,3,303,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
TRUE,3,304,Queen,,,Inspiring,Mirzakhani,Agitated Keldysh,,Tue - 11/7,Tue - 11/14,,,,Condescending Lamport,Yes,,Keep on 3rd floor (art on Gnd),,,Comp,Art,n/a
TRUE,3,305,Queen,,,Sweet,Margulis,,,Wed - 11/8,Mon - 11/13,,,,Condescending Lamport,Yes,,Keep on 3rd floor (art on Gnd),,,Comp,Art,n/a
TRUE,3,306,Queen,,,Suspicious,Dirac,Trusting Wiles,,Thur - 11/9,Mon - 11/13,,,,Condescending Lamport,Yes,,Keep on 3rd floor (art on Gnd),,,Comp,Art,n/a
TRUE,3,307,Queen,,,Xenodochial,Davinci,,,Tue - 11/7,Tue - 11/14,,,,Condescending Lamport,Yes,,Keep on 3rd floor (art on Gnd),,,Comp,Art,n/a
FALSE,3,308,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
TRUE,3,309,Queen,Queen,,Festive,Heisenberg,Intelligent Fermi,,Wed - 11/8,Mon - 11/13,,,,Condescending Lamport,Yes,,Keep on 3rd floor (art on Gnd),,,Comp,Art,n/a
TRUE,3,310,Queen,,,Friendly,Beaver,Strange Bhaskara,,Wed - 11/8,Tue - 11/14,,,,Condescending Lamport,Yes,,Keep on 3rd floor (art on Gnd),,,Comp,Art,n/a
TRUE,3,311,Queen,,,Relaxed,Mcnulty,Youthful Jones,,Wed - 11/8,Mon - 11/13,,,,Condescending Lamport,Yes,,Keep on 3rd floor (art on Gnd),,,Comp,Art,n/a
TRUE,3,312,Queen,,,Festive,Varahamihira,Happy Brown,,Wed - 11/8,Mon - 11/13,,,,Condescending Lamport,Yes,,Keep on 3rd floor (art on Gnd),,,Comp,Art,n/a
TRUE,3,313,Queen,,,Suspicious,Babbage,Friendly Herschel,,Wed - 11/8,Mon - 11/13,,,,Condescending Lamport,Yes,,Keep on 3rd floor (art on Gnd),,,Comp,Art,n/a
FALSE,3,314,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,315,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,316,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,317,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
